STT,Tên Quẻ,Thơ (Hán Việt/Nôm),Dịch Nghĩa,Lời Bàn (Commentary),Lời Khuyên (Advice)
63,"Quẻ Số 63 - Thượng Cát (Dương Chấn khước kim)","Dương danh lập thân tại tự tu,\nNhất sinh thanh bạch mạc tham cầu.\nThiên tri địa tri tâm tự giám,\nQuỷ thần hâm phục phúc lai du.","Dương danh lập thân tại tự tu,\nMột đời thanh bạch chớ tham cầu.\nTrời biết đất biết tâm tự giám,\nQuỷ thần khâm phục phúc lại về.","Muốn thành danh phải tự tu dưỡng. Như Dương Chấn từ chối vàng hối lộ với câu nói nổi tiếng: 'Trời biết, đất biết, ta biết, người biết'. Sống thanh bạch, không tham lam thì quỷ thần cũng nể phục, phúc đức tự tìm đến.","Giữ gìn sự 'Liêm khiết'. Trong kinh doanh hay quan trường, đừng vì cái lợi trước mắt mà đánh mất phẩm giá. Sự trung thực là thương hiệu đắt giá nhất. Trời cao có mắt, người ngay thẳng ắt có hậu."
64,"Quẻ Số 64 - Hạ Hạ (Hạng Vũ bại trận)","Tứ diện sở ca thanh tận bi,\nAnh hùng khí đoản lệ triêm y.\nNgu Cơ tự vẫn Ô Giang hận,\nThiên đạo vô thường sự khả nghi.","Bốn bề ca Sở tiếng bi thương,\nAnh hùng khí đoản lệ đẫm thường.\nNgu Cơ tự vẫn Ô Giang hận,\nThiên đạo vô thường sự đáng thương.","Bị vây khốn bốn bề (tứ diện Sở ca), lòng quân tan rã. Hạng Vũ anh hùng cái thế cũng phải rơi lệ biệt Ngu Cơ rồi tự vẫn. Cảnh ngộ tuyệt vọng, mất mát người thân, sự nghiệp sụp đổ.","Khi vận số đã tận, sự vùng vẫy chỉ thêm đau đớn. Học cách chấp nhận thất bại như một phần của định mệnh. Đừng cố gắng đầu tư hay khởi nghiệp lúc này. Nên thu mình, bảo toàn mạng sống và chờ đợi."
65,"Quẻ Số 65 - Thượng Cát (Mông Chính đắc tuyển)","Thiên thời cửu hạn phùng cam vũ,\nLưu thủy thao thao hựu nhập khê.\nKhô mộc phùng xuân hoa sắc mậu,\nĐộc chiêm ngao đầu bách thế sư.","Trời hạn đã lâu gặp mưa rào,\nNước chảy cuồn cuộn lại vào khe.\nCây khô gặp xuân hoa sắc tốt,\nMột mình chiếm đầu trăm đời sư.","Nắng hạn gặp mưa rào, người nghèo (như Lã Mông Chính) nay đỗ Trạng Nguyên, đứng đầu thiên hạ. Cây khô đâm chồi nảy lộc. Sự nghiệp thăng tiến tột bậc, thay đổi hoàn toàn số phận.","Sự kiên trì trong gian khó sẽ được đền đáp xứng đáng. Đừng mặc cảm vì xuất thân hàn vi. Hãy nỗ lực học tập và rèn luyện. Khi thời cơ đến (thiên thời), bạn sẽ vượt qua tất cả để đứng đầu."
66,"Quẻ Số 66 - Thượng Cát (Đỗ Phủ du xuân)","Xuân lai hoa phát ánh dương đài,\nVạn lý xa lai tiến bảo tài.\nNhược đắc vũ nghi tương tá lực,\nCông thành danh toại tiếu nhan khai.","Xuân sang hoa nở rạng đài dương,\nMuôn dặm xe mang báu vật dâng.\nNếu được vây cánh cùng trợ lực,\nCông thành danh toại mặt mày vinh.","Mùa xuân tươi đẹp, hoa nở rực rỡ. Tài lộc từ phương xa đưa tới nườm nượp. Được bạn bè, đồng đội trợ lực nên công thành danh toại, vui vẻ hân hoan. Thích hợp xuất hành, du ngoạn.","Mở rộng lòng mình đón nhận niềm vui và sự hợp tác. Đừng làm việc đơn độc, hãy kết giao với những người tài giỏi. Mùa xuân là thời điểm tốt nhất để bắt đầu những dự án mới đầy hứa hẹn."
67,"Quẻ Số 67 - Trung Bình (Quan Công phó hội)","Đơn đao phó hội khí ngang ngang,\nThiên hạ anh hùng thùy cảm đương.\nĐảm lược quá nhân mưu túc trí,\nBình an độ hiểm sự phi thường.","Đơn đao đến hội khí ngang tàng,\nThiên hạ anh hùng ai dám đương.\nĐảm lược hơn người mưu túc trí,\nBình an qua hiểm việc phi thường.","Một mình một đao đến hội (như Quan Công sang hội Đông Ngô), khí phách ngang tàng không ai địch nổi. Dù tình thế nguy hiểm (hang hùm miệng sói) nhưng nhờ trí dũng song toàn nên bình an trở về.","Cần sự dũng cảm và bản lĩnh phi thường để đối mặt với thử thách lớn. Khi bị đối thủ ép buộc hoặc rơi vào thế khó, hãy giữ cái đầu lạnh và phong thái tự tin. Uy phong sẽ giúp bạn lấn át kẻ thù."
68,"Quẻ Số 68 - Thượng Cát (Tiền Lưu hiến tiễn/Làm vua)","Môn đình cát khánh hỷ phi thường,\nTích thiện chi gia đại cát xương.\nLộc vị cao thăng kim mãn ốc,\nNhi tôn mãn đường phúc thọ trường.","Cửa nhà tốt đẹp hỷ phi thường,\nNhà tích điều thiện đại cát xương.\nLộc vị cao thăng vàng đầy ốc,\nCháu con đầy nhà phúc thọ trường.","Cửa nhà rực rỡ, tin vui tới tấp. Nhờ tích đức nên phúc lộc dồi dào, thăng quan tiến chức, vàng bạc đầy nhà (như Tiền Lưu làm vua một cõi). Con cháu đông đúc, trường thọ.","Khẳng định quy luật 'Ở hiền gặp lành'. Hãy tiếp tục duy trì truyền thống làm việc thiện của gia đình. Sự giàu có và quyền lực này là phần thưởng xứng đáng cho đức độ của bạn và tổ tiên."
69,"Quẻ Số 69 - Trung Bình (Hoa Mộc Lan tòng quân/Tôn Tẫn bàng hoàng)","Họa phước vô môn duy tự triệu,\nHành tàng đắc thất tổng do thiên.\nNhược năng cải quá hành phương tiện,\nChuyển họa vi tường hỷ khí thiêm.","Họa phúc không cửa do tự triệu,\nLàm hay được mất thảy do thiên.\nNếu hay sửa lỗi làm phương tiện,\nChuyển họa làm lành hỷ khí thêm.","Họa hay phúc không có cửa nhất định, do người tự vời đến. Thành bại do trời. Nếu biết ăn năn sửa lỗi, làm việc thiện (hành phương tiện) thì có thể chuyển hung thành cát, tăng thêm niềm vui.","Vận mệnh nằm trong tay mình (Đức năng thắng số). Nếu đang gặp vận rủi, đừng than trời trách đất. Hãy nhìn lại bản thân, sửa đổi lỗi lầm và tích cực làm phước. Sự chuyển hóa nội tâm sẽ thay đổi hoàn cảnh bên ngoài."
70,"Quẻ Số 70 - Hạ Hạ (Vương Chiêu Quân xuất tái)","Lôi oanh điện chớp chấn thiên môn,\nBình địa phong ba khởi dị đoan.\nThiên lý lương duyên tòng thử đoạn,\nĐộc lưu thanh trủng hướng hoàng hôn.","Sấm rền điện chớp động cửa thiên,\nĐất bằng sóng gió nổi dị đoan.\nNgàn dặm lương duyên từ đây đứt,\nRiêng lưu nấm mộ hướng hoàng hôn.","Sấm chớp dữ dội, sóng gió nổi lên từ đất bằng. Mối lương duyên ngàn dặm bị chia cắt (như Chiêu Quân đi cống Hồ). Cuối cùng chỉ còn nấm mộ xanh lạnh lẽo dưới bóng hoàng hôn. Cảnh chia ly, tang tóc.","Quẻ rất xấu về tình duyên và gia đạo. Có sự chia ly, mất mát hoặc đi xa không ngày về. Cần chuẩn bị tinh thần đón nhận tin buồn. Nên tụng kinh, làm việc thiện để hồi hướng cho oan gia trái chủ, mong giảm bớt nghiệp lực."
71,"Quẻ Số 71 - Thượng Cát (Tô Vũ hoàn hương)","Hỷ thước thiềm đầu báo hảo âm,\nTri quân thiên lý dục quy tâm.\nCầu tài mưu vọng giai như ý,\nNhất điếu kim lân xuất bích đầm.","Chim khách đầu hiên báo tin lành,\nBiết bạn ngàn dặm muốn về nhanh.\nCầu tài mưu vọng đều như ý,\nMột lưỡi câu vàng cá biếc xanh.","Chim khách báo tin vui đầu nhà. Người đi xa ngàn dặm đang mong ngóng trở về (như Tô Vũ đi sứ 19 năm được về Hán). Cầu tài lộc được như ý, giống như thả câu bắt được cá vàng (kim lân) từ đầm biếc.","Tin vui đang đến rất gần, đặc biệt là tin đoàn tụ hoặc hồi âm từ phương xa. Kiên nhẫn chờ đợi, sự trung thành và bền bỉ của bạn sẽ được đền đáp xứng đáng bằng một kết thúc có hậu."
72,"Quẻ Số 72 - Thượng Cát (Phạm Lãi quy hồ)","Hà hoa xuất thủy mãn trì hồng,\nNhược đắc vạn ban sự sự đồng.\nTư bản hữu tài giai đắc lợi,\nQuy lai ca xướng tịch dương trung.","Hoa sen ra nước đỏ đầy ao,\nVí được muôn vàn việc việc chao.\nVốn liếng có tài đều đắc lợi,\nVề qua ca hát nắng chiều chao.","Cảnh tượng rực rỡ như hoa sen nở đầy ao. Mọi việc đều đồng lòng nhất trí. Có vốn, có tài năng thì kinh doanh ắt có lãi lớn. Sau khi thành công thì lui về nghỉ ngơi, hát ca trong nắng chiều (như Phạm Lãi buôn bán phát tài rồi quy ẩn).","Thời vận hưng thịnh, làm ăn phát tài. Nhưng cần nhớ triết lý 'công thành thân thoái'. Khi đã đạt được mục tiêu tài chính, hãy biết hưởng thụ cuộc sống an nhàn, đừng tham lam quá độ mà lao tâm khổ tứ."
73,"Quẻ Số 73 - Hạ Hạ (Triệu Ngũ Nương tìm chồng)","Ức tích lan phòng phân bán thoa,\nNhi kim hốt bả tín âm sa.\nSi tâm chỉ vọng thành liên lý,\nĐáo để thùy tri sự sự xoa.","Nhớ xưa phòng gấm chia thoa nửa,\nMà nay bỗng để tin tức xa.\nLòng si chỉ vọng thành liền lý,\nSau rốt ai hay sự sự xoa.","Nhớ lại cảnh chia tay ngày xưa (bẻ thoa làm đôi làm tin), nay tin tức mịt mù. Lòng vẫn son sắt mong chờ đoàn tụ (như Triệu Ngũ Nương tìm chồng) nhưng mọi việc lại sai lệch, trái ngang, không như ý muốn.","Tình cảm trắc trở, 'đồng sàng dị mộng' hoặc xa mặt cách lòng. Sự chờ đợi có thể vô vọng hoặc nhận được tin không vui. Nên chuẩn bị tâm lý cho sự thay đổi xấu, đừng quá si mê mù quáng."
74,"Quẻ Số 74 - Hạ Hạ (Tần Thủy Hoàng mất nước)","Xà nhập dũng sào hô bất tỉnh,\nDoanh cầu mưu vọng sự nan thành.\nTuy nhiên đắc đạt mạc phùng thời,\nNgộ thời lạc phách hối nan đào.","Rắn vào tổ rồng gọi chẳng tỉnh,\nMưu cầu mong ngóng việc khó thành.\nTuy nhiên được đạt chẳng gặp thời,\nLỡ thời lạc phách hối khó đào.","Rắn bò vào tổ rồng mà rồng vẫn ngủ không biết (điềm báo mất cảnh giác). Mưu sự thất bại. Dù có đạt được chút gì cũng là không gặp thời, sớm nở tối tàn. Khi cơ nghiệp sụp đổ (như nhà Tần) thì hối cũng không kịp.","Cảnh báo về sự lơ là, chủ quan khinh địch. Nguy hiểm đang len lỏi vào ngay bên cạnh mà không hay. Hãy rà soát lại hệ thống, nhân sự và tài sản ngay lập tức. Đừng ngủ quên trên chiến thắng."
75,"Quẻ Số 75 - Thượng Cát (Lưu Tất vinh quy)","Sinh tiền kết đắc hảo nhân duyên,\nNhất tiếu tương phùng tình tự thiên.\nThị phi khẩu thiệt giai tiêu tán,\nPhủ thủ thanh vân túc đế tiền.","Kiếp trước kết được hảo nhân duyên,\nMột cười gặp gỡ tình tự nhiên.\nThị phi miệng lưỡi đều tiêu tán,\nCúi đầu mây xanh chầu trước thiên.","Nhờ kiếp trước gieo duyên lành nên nay gặp gỡ vui vẻ, tình cảm thắm thiết. Mọi lời đồn đại thị phi tự nhiên tan biến. Công danh thăng tiến, cúi đầu là thấy mây xanh, được chầu vua (vinh quy).","Quả ngọt của thiện nghiệp. Các mối quan hệ xã hội mang lại lợi ích lớn. Oan ức được giải tỏa. Hãy trân trọng những người bạn, đối tác đến với mình lúc này, họ là quý nhân do duyên định."
76,"Quẻ Số 76 - Thượng Cát (Tiêu Hà truy Hàn Tín)","Thân cư danh lợi hựu hà như,\nChư sự du du thả đãi thời.\nThả phạ tuyết mê tiền lộ lãnh,\nĐãi thời quý nhân tiếp dẫn quy.","Thân ở danh lợi lại thế nào,\nMọi việc dằng dặc hãy đợi thời.\nLại sợ tuyết mờ đường trước lạnh,\nĐợi thời quý nhân tiếp dẫn về.","Đang ở trong vòng danh lợi nhưng lòng chưa yên, mọi việc còn dang dở. Sợ đường đi phía trước lạnh lẽo, mờ mịt. Nhưng đừng lo, hãy kiên nhẫn đợi thời, sẽ có quý nhân (như Tiêu Hà đuổi theo mời Hàn Tín) đến dẫn đường chỉ lối.","Tài năng của bạn sẽ được người khác nhìn nhận, nhưng không phải ngay lập tức. Đừng vội nản chí bỏ đi khi chưa thấy kết quả. Sự kiên trì chờ đợi lúc này là cần thiết để gặp được minh chủ."
77,"Quẻ Số 77 - Hạ Hạ (Lã Hậu cầu Phật)","Kim niên vận thế phạ truân chiên,\nHữu bệnh hữu tụng sự liên miên.\nPhú quý vinh hoa mạc cưỡng cầu,\nChỉ khủng nhật hậu họa lâm thân.","Năm nay vận thế sợ truân chiên,\nCó bệnh có tụng việc liên miên.\nPhú quý vinh hoa đừng gượng cầu,\nChỉ sợ ngày sau họa vào thân.","Năm nay vận hạn xấu, gian nan chồng chất. Bệnh tật, kiện tụng dây dưa không dứt. Đừng tham cầu phú quý vinh hoa kẻo rước họa vào thân (như Lã Hậu về già sợ hãi nghiệp báo).","Nên tu tâm dưỡng tính, sám hối nghiệp chướng. Tránh xa tranh chấp, kiện tụng vì phần thua nắm chắc. Không nên đầu tư mạo hiểm. Sức khỏe là ưu tiên hàng đầu, cẩn thận bệnh cũ tái phát."
78,"Quẻ Số 78 - Hạ Hạ (Viên Thiệu bại binh)","Gia đạo phong ba đương dĩ phòng,\nÁm trung quỷ mị khởi tai ương.\nBất thị tân bại tịnh thoái tài,\nChỉ khủng nhân vong cập họa ương.","Gia đạo phong ba nên phải phòng,\nTrong tối ma quỷ dậy tai ương.\nChẳng phải hao tài cùng tốn của,\nChỉ sợ người mất với họa vương.","Gia đình nổi sóng gió, cần đề phòng cẩn mật. Có kẻ tiểu nhân (quỷ mị) trong bóng tối gây họa. Không chỉ là mất tiền của, bại trận (như Viên Thiệu) mà còn sợ nguy hiểm đến tính mạng người thân.","Vận đen bao trùm. Cần 'phòng thủ toàn diện'. Kiểm tra lại an ninh nhà cửa, cẩn trọng củi lửa, xe cộ. Gia đình cần đoàn kết để chống lại ngoại xâm. Năng làm việc thiện để giải bớt sát khí."
79,"Quẻ Số 79 - Trung Bình (Tống Giang ngộ nạn)","Can qua tĩnh loạn ngộ thái bình,\nHung cát nguyên lai vị rõ tình.\nĐãi đắc xuân sắc minh nguyệt hiện,\nĐào hồng liễu lục hựu tranh vinh.","Can qua loạn lạc gặp thái bình,\nHung cát xưa nay chưa rõ tình.\nĐợi được sắc xuân trăng sáng hiện,\nĐào hồng liễu lục lại tranh vinh.","Vừa trải qua loạn lạc, binh đao mới được yên ổn. Hung cát vẫn chưa phân định rõ ràng. Phải đợi đến mùa xuân, trăng sáng thì mọi việc mới tốt đẹp, cây cối đua tươi (đào hồng liễu lục).","Đang trong giai đoạn chuyển giao từ xấu sang tốt, nhưng chưa ổn định hoàn toàn. Không nên manh động. Hãy dưỡng sức, chờ đợi thời cơ chín muồi (mùa xuân) hẵng bung lụa. Giữ tâm bình thản trước những dư âm của khó khăn cũ."
80,"Quẻ Số 80 - Thượng Cát (Quách Tử Nghi thượng thọ)","Hạo thủ thương thiên tuế tuế xương,\nNhi tôn mãn đường phúc thọ trường.\nBách ban như ý giai toại nguyện,\nPhú quý vinh hoa thọ vô cương.","Đầu bạc trời xanh năm năm thịnh,\nCháu con đầy nhà phúc thọ trường.\nTrăm điều như ý đều toại nguyện,\nPhú quý vinh hoa thọ vô cương.","Tuổi già đầu bạc mà vẫn khang kiện, năm nào cũng hưng thịnh. Con cháu đầy nhà, phúc thọ song toàn (như Quách Tử Nghi sống thọ, hưởng vinh hoa tột đỉnh). Trăm sự đều như ý.","Quẻ cực tốt về hậu vận và gia đạo. Là phúc báo của việc sống nhân đức. Hãy tận hưởng niềm vui bên gia đình. Nếu cầu về sức khỏe hay con cái thì sẽ được toại nguyện mỹ mãn."
81,"Quẻ Số 81 - Hạ Hạ (Khấu Chuẩn bãi quan)","Tương đàn ngưu giá vãn đông du,\nCùng khổ tư lương oán mệnh đồ.\nPhú quý vinh hoa thiên định số,\nĐan đan nhược thủy hướng đông lưu.","Dắt bừa cày ruộng muộn về đông,\nCùng khổ lo toan oán mệnh cùng.\nPhú quý vinh hoa trời định số,\nĐỏ hồng dòng nước chảy về đông.","Quan Tể tướng Khấu Chuẩn bị giáng chức về quê làm ruộng. Cảnh tình cùng khổ, làm lụng vất vả mà thu hoạch chẳng bao nhiêu. Oán trách số phận hẩm hiu. Mọi công lao trôi theo dòng nước.","Vận số đang lúc suy vi, đừng cố cưỡng cầu phú quý lúc này. Hãy chấp nhận hoàn cảnh hiện tại, an phận thủ thường, lấy lao động làm niềm vui. Chờ đợi thời cơ khác, càng vùng vẫy càng thiệt thân."
82,"Quẻ Số 82 - Thượng Cát (Tống Nhân Tông nhận mẹ)","Bát toán cầu thần vọng cát hung,\nKim tiêu dẫn tích hướng nhi mông.\nKhước hiềm lão mẫu vô công đức,\nHà nại hoàng thiên ái lão ông.","Gieo quẻ cầu thần xem cát hung,\nĐêm nay dắt gậy hướng nhi mông.\nLại hiềm mẹ già không công đức,\nNào hay trời thẳm ái lão ông.","Cầu thần xem điềm lành dữ. Vua Tống Nhân Tông vi hành tìm mẹ ruột (Lý Thần Phi). Tưởng rằng vô vọng nhưng trời cao có mắt, thương người già yếu, cho mẹ con đoàn tụ sau bao năm xa cách.","Lòng hiếu thảo và sự thành tâm sẽ động thấu trời xanh. Những điều tưởng chừng không thể (như tìm lại người thân thất lạc lâu năm) sẽ thành hiện thực. Gia đạo có tin vui lớn về đoàn tụ."
83,"Quẻ Số 83 - Trung Bình (Gia Cát Lượng cầu phong)","Phú quý vinh hoa mạc cưỡng cầu,\nDoanh mưu dụng sự phản ưu sầu.\nXuân hạ mưu cầu đô bất toại,\nThu đông thời chí thủy trường lưu.","Phú quý vinh hoa chớ cưỡng cầu,\nMưu toan dụng sự lại lo âu.\nXuân hạ mưu cầu đều chẳng toại,\nThu đông thời đến nước dài lâu.","Gia Cát Lượng lập đàn cầu gió đông. Phú quý là do trời định, đừng cưỡng ép. Càng mưu tính càng thêm lo sầu. Mùa xuân và hạ không thuận lợi, phải đợi đến mùa thu đông thì vận may mới tới, trôi chảy như nước.","Biết thiên thời địa lợi là trí tuệ. Đừng làm việc trái mùa, trái thời. Nếu hiện tại (xuân hạ) thấy bế tắc, hãy kiên nhẫn chờ đợi. Đến cuối năm (thu đông), mọi nỗ lực sẽ được đền đáp xứng đáng."
84,"Quẻ Số 84 - Hạ Hạ (Lý Lâm Phủ hại hiền)","Sử quân hắc ám bất tri hiền,\nLương tương ngộ chi diệc khả liên.\nGiang Nam hồ hải giai xuân sắc,\nDuy hữu thu phong tống khách miên.","Vua quan đen tối chẳng biết hiền,\nTướng giỏi gặp thời cũng đáng thương.\nGiang Nam hồ hải đều xuân sắc,\nChỉ có gió thu tiễn khách miên.","Gặp thời vua quan u tối, gian thần (Lý Lâm Phủ) lộng hành, người hiền tài bị hãm hại, chèn ép. Bên ngoài cảnh sắc tươi đẹp nhưng lòng người lạnh lẽo như gió thu. Cô đơn, thất chí.","Môi trường làm việc hiện tại đầy rẫy sự bất công và tiểu nhân. Tài năng không được trọng dụng. Nên tìm đường rút lui an toàn hoặc ẩn nhẫn chờ thời. Đừng bộc lộ hết khả năng kẻo bị ganh ghét, hãm hại."
85,"Quẻ Số 85 - Trung Bình (Khương Duy ngộ nạn)","Nhất xuân phong vũ vũ phi phi,\nThiên lý hành nhân thấp cập y.\nNhất đáng dương quan thanh vạn lý,\nĐương thời đắc ý mã đề quy.","Một xuân mưa gió rắc lâm thâm,\nNgàn dặm người đi ướt áo đầm.\nMột sớm nắng lên quang vạn dặm,\nĐương thời đắc ý ngựa về sân.","Đầu xuân mưa gió dầm dề, người đi đường xa bị ướt lạnh, gặp nạn (như Khương Duy). Gian nan, vất vả. Nhưng rồi trời sẽ hửng nắng, quang đãng vạn dặm. Lúc đó sẽ đắc ý cưỡi ngựa vinh quy.","Khó khăn chỉ là tạm thời (như cơn mưa xuân). Đừng nản lòng trước trở ngại trước mắt. Hãy kiên trì chịu đựng sự 'ướt át' của nghịch cảnh. Tương lai tươi sáng đang chờ đợi phía sau cơn mưa."
86,"Quẻ Số 86 - Thượng Cát (Đào Chu Công kinh doanh)","Nhất chu hành hóa thượng Giang Nam,\nPhong ổn phàm treo lợi sấm tham.\nNhất đán đắc tài hoàn cố lý,\nCa thanh hoan tiếu mãn tây nam.","Một thuyền hàng hóa lên Giang Nam,\nGió yên buồm treo lợi gấp ba.\nMột sớm được tài về quê cũ,\nTiếng ca cười nói khắp tây nam.","Đi buôn bán xa (lên Giang Nam) gặp thuận lợi lớn. Gió yên biển lặng, buồm căng, lợi nhuận gấp ba bốn lần (như Đào Chu Công). Mang tiền bạc vinh quy bái tổ, tiếng cười vui vẻ khắp nơi.","Cực tốt cho việc kinh doanh, xuất nhập khẩu hoặc đi làm ăn xa. Vận tài lộc đang rất vượng. Hãy mạnh dạn đầu tư, mở rộng thị trường. Nhớ chia sẻ thành quả với quê hương khi thành công."
87,"Quẻ Số 87 - Trung Bình (Dương Kế Nghiệp cứu giá)","Lâm nguy mạc cụ vọng mang mang,\nThuyền đáo giang tâm lãng phục cuồng.\nThả bả tinh kỳ thụ đầu thượng,\nĐãi thời bắc khuyết hảo triều vương.","Lâm nguy chớ sợ ngóng mênh mang,\nThuyền đến giữa dòng sóng lại cuồng.\nHãy đem cờ xí dựng đầu thượng,\nĐợi thời cửa bắc khéo chầu vương.","Gặp nguy hiểm đừng sợ hãi hoang mang. Như thuyền ra giữa dòng gặp sóng dữ. Lúc này cần giữ vững tinh thần, dựng cao cờ xí (thể hiện ý chí). Qua cơn hoạn nạn sẽ được triều kiến vua, thăng quan tiến chức.","Bản lĩnh của người lãnh đạo thể hiện lúc nguy nan. Đừng dao động. Sự kiên định của bạn sẽ là điểm tựa cho người khác. Vượt qua thử thách này, địa vị và uy tín của bạn sẽ tăng lên gấp bội."
88,"Quẻ Số 88 - Hạ Hạ (Chu Du khí tuyệt)","Khuyến quân lao lục phí tâm cơ,\nNhất chỉ tường vân thướng thiên cù.\nNhậm nhĩ công phu hưu đố kỵ,\nNhân năng vi họa phúc nan đồ.","Khuyên bạn lao lực phí tâm cơ,\nMột giải mây lành lên thiên cù.\nMặc bạn công phu thôi đố kỵ,\nNgười hay gây họa phúc khôn đồ.","Khuyên đừng tốn công vô ích mà bày mưu tính kế hại người. Số người ta đã có mây lành che chở (lên trời). Càng đố kỵ (như Chu Du ghen ghét Gia Cát Lượng) thì càng tự chuốc họa vào thân, chết trong tức tưởi.","Bài học về sự 'Ganh ghét'. Đố kỵ là liều thuốc độc giết chết chính mình. Hãy buông bỏ tâm so sánh hơn thua. Tập trung tu dưỡng bản thân thay vì tìm cách hạ bệ người khác. Gieo nhân ác gặt quả ác."
89,"Quẻ Số 89 - Thượng Cát (Ban Siêu đầu bút tòng nhung)","Duy ngô sở mưu dục thí vi,\nKim nhật phong vân hỉ kiến cơ.\nTrực đãi biên đình thành đại sự,\nAnh hùng trắc thượng tính danh đề.","Riêng ta mưu tính muốn thử làm,\nHôm nay gió mây mừng thấy cơ.\nHãy đợi sân triều thành việc lớn,\nAnh hùng sách sử tính danh đề.","Có chí lớn, muốn bỏ văn theo võ (đầu bút tòng nhung) để lập công danh. Nay gặp hội gió mây (thời cơ tốt). Sẽ làm nên đại sự nơi biên cương, tên tuổi ghi vào sử sách, rạng danh anh hùng.","Thích hợp cho việc khởi nghiệp, thay đổi nghề nghiệp hoặc dấn thân vào lĩnh vực mới đầy thử thách. Đừng ngại thay đổi. Sự dũng cảm đi tiên phong sẽ mang lại thành công vang dội."
90,"Quẻ Số 90 - Trung Bình (Dương Tiễn trừ yêu)","Phi bồng tẩu mã tẩu tây đông,\nNhân sự lao lao vận vị thông.\nKham thán anh hùng vô dụng xứ,\nThử thời chỉ hảo học thần thông.","Cỏ bồng chạy ngựa chạy tây đông,\nViệc người lao khổ vận chưa thông.\nKhá than anh hùng không đất dụng,\nLúc này chỉ tốt học thần thông.","Chạy ngược chạy xuôi vất vả như ngựa chạy, cỏ bồng trôi. Lao tâm khổ tứ mà vận chưa thông. Tài năng (anh hùng) chưa có đất dụng võ. Lúc này tốt nhất là nên ẩn mình học hỏi (học thần thông) để nâng cao bản lĩnh.","Khi nỗ lực bên ngoài không hiệu quả, hãy quay vào bên trong. Đầu tư cho tri thức và kỹ năng mới. Đừng cố đấm ăn xôi. Giai đoạn này là bước đệm cần thiết để tích lũy nội lực cho tương lai."
91,"Quẻ Số 91 - Thượng Cát (Triệu Tử Long cứu A Đẩu)","Phật tiền chúc nguyện vọng bình an,\nPhúc lộc vinh hoa tự nhiên lai.\nNhất tiễn xạ điêu song dực lạc,\nDanh dương tứ hải chấn tam thai.","Trước Phật cầu nguyện mong bình an,\nPhúc lộc vinh hoa tự nhiên sang.\nMột tên bắn điêu đôi cánh rụng,\nDanh vang bốn biển động tam thai.","Thành tâm cầu Phật ban bình an. Phúc lộc sẽ tự nhiên đến. Lập công lớn, một mũi tên bắn rụng hai con điêu (như Triệu Vân cứu chúa, diệt tướng địch). Danh tiếng vang lừng bốn biển, chấn động triều đình.","Sức mạnh của niềm tin tâm linh kết hợp với tài năng thực tế. Cầu nguyện giúp tâm an định, tài năng giúp hành động chính xác. Bạn sẽ đạt được mục tiêu kép (nhất tiễn song điêu) trong thời gian tới."
92,"Quẻ Số 92 - Thượng Cát (Cao Tổ trảm xà)","Nhất tự đương thiên vạn sự thông,\nDoanh mưu đắc ý thắng quần hùng.\nBạch xà đương đạo ngô huy kiếm,\nVạn lý giang sơn cẩm tú trung.","Một chữ đang trời vạn sự thông,\nMưu cầu đắc ý thắng quần hùng.\nRắn trắng cản đường ta vung kiếm,\nMuôn dặm non sông gấm vóc trong.","Khí thế ngất trời, vạn sự hanh thông. Mưu lược hơn người, chiến thắng mọi đối thủ (quần hùng). Dũng cảm chém rắn trắng cản đường (khởi nghĩa), mở ra cơ đồ giang sơn gấm vóc muôn dặm.","Quẻ của người lãnh đạo, người đi đầu. Cần sự quyết đoán mạnh mẽ. Gặp chướng ngại vật (rắn trắng) phải kiên quyết loại bỏ ngay. Thành công rực rỡ đang chờ người có khí phách đế vương."
93,"Quẻ Số 93 - Thượng Cát (Thiệu Nghiêu Phu bói quẻ)","Thiên thời địa lợi hựu nhân hòa,\nCát khánh lai lâm hỷ khí đa.\nNhân khẩu bình an tài lộc vượng,\nSự sự như ý tiếu ha ha.","Thiên thời địa lợi lại nhân hòa,\nTốt lành đem đến hỷ khí đa.\nNhân khẩu bình an tài lộc vượng,\nViệc việc như ý cười ha ha.","Hội tụ đủ ba yếu tố vàng: Thiên thời - Địa lợi - Nhân hòa. Vận may dồn dập, niềm vui nhiều vô kể. Người nhà bình an, tiền tài hưng vượng. Làm gì cũng thành công, cười vui thỏa chí.","Thời điểm vàng hiếm có. Hãy tận dụng tối đa để triển khai những kế hoạch quan trọng nhất. Sự ủng hộ của mọi người xung quanh (nhân hòa) là yếu tố then chốt giúp bạn thăng hoa."
